transaction_id,customer_id,first_name,last_name,gender,home_city,home_country,transaction_city,transaction_country,login_city,login_country,timestamp,transaction_type,amount,currency,merchant,category,description,is_by_check,account_number,swift_bic,receiveraccount,receiverswift,balanceafter,avgdailybalance,legitimate,fraudreason,is_fraud,added_at
TXN000024,CUST0082,Brenda,Noble,Female,Hughesshire,CD,Catherinefurt,KW,Barbarabury,SO,2023-01-04 21:55:00,Debit,2328.9,USD,Uber,Transport,Debit Online at Uber,0,493453000000.0,meJFmHxD,,,18095.72,18051.96,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000025,CUST0003,Michael,Brown,Male,Molinachester,TO,South Lisa,SE,Molinachester,GH,2023-01-05 02:00:00,Credit,4934.67,USD,Delta Airlines,Travel,Credit Online at Delta Airlines,1,973589000000.0,vGSyTxXn,67752085256.0,uLIzqviK,13033.33,12233.86,0,New country & high-value transaction,1,2025-12-04T14:55:07.833306
TXN000026,CUST0101,Zachary,Stephens,Male,Martinport,HN,South Brandonmouth,,South Monique,HN,2023-01-05 06:05:00,Credit,1918.7,USD,Delta Airlines,Travel,Credit Online at Delta Airlines,0,883678000000.0,HpESDfoR,21305057185.0,XpIsYKRc,11885.2,12315.61,1,,0,2025-12-04T14:55:07.833306
TXN000027,CUST0103,Kathleen,Grimes,Female,North Michelle,AF,New Katrinaburgh,AR,North Michelle,QA,2023-01-05 10:11:00,Debit,554.67,USD,Chase,Banking,Debit Online at Chase,0,632809000000.0,sVsmPqml,,,1797.13,1394.4,0,Suspicious login location,0,2025-12-04T14:55:07.833306
TXN000028,CUST0183,Kyle,Owens,Male,North Nicole,SE,Shelbyhaven,IS,North Nicole,AO,2023-01-05 14:16:00,Debit,872.89,USD,Shell,Fuel,Debit Online at Shell,0,958304000000.0,siXekxGX,,,8881.29,8524.09,1,,0,2025-12-04T14:55:07.833306
TXN000029,CUST0142,Michael,Crane,Male,New Kathleenshire,SV,Debrastad,MV,Lake Diana,GN,2023-01-05 18:21:00,Debit,378.14,USD,Hilton,Hotel,Debit Online at Hilton,1,958388000000.0,OqWMebYK,,,3778.35,3949.62,0,Suspicious login location,0,2025-12-04T14:55:07.833306
TXN000030,CUST0010,Heather,Jackson,Female,East Reneemouth,BR,Melissaborough,TD,Karenbury,BR,2023-01-05 22:26:00,Credit,4444.5,USD,OffshoreBank,Banking,Credit Online at OffshoreBank,0,366185000000.0,ycLFFBNC,37528070876.0,hOJkZMce,8569.06,9138.0,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000031,CUST0030,Brittany,Robinson,Female,Royburgh,WS,Port Frank,DE,New Robert,NZ,2023-01-06 02:31:00,Debit,2151.69,USD,Apple,Electronics,Debit Online at Apple,1,507269000000.0,GHEHtdrC,,,3983.42,4325.56,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000032,CUST0026,Ashley,Rice,Female,Port Stephaniebury,EG,Nicholasmouth,VN,Port Stephaniebury,EG,2023-01-06 06:36:00,Debit,1658.45,USD,OffshoreBank,Banking,Debit Online at OffshoreBank,1,178364000000.0,JvMFYJkQ,,,17217.24,18047.05,0,Transaction from blacklisted merchant,0,2025-12-04T14:55:07.833306
TXN000033,CUST0082,Melinda,Mata,Female,New Crystalside,LI,Dawnmouth,CU,South Benjamin,LI,2023-01-06 10:41:00,Credit,548.94,USD,Hilton,Hotel,Credit Online at Hilton,1,148446000000.0,FWeRVduo,89261917413.0,BGSVIhDj,2778.38,2061.39,1,,0,2025-12-04T14:55:07.833306
TXN000034,CUST0076,Justin,Freeman,Male,Jaredport,PT,Toddport,MY,Jaredport,PT,2023-01-06 14:46:00,Debit,4980.22,USD,Shell,Fuel,Debit Online at Shell,0,384073000000.0,sbnRPhjL,,,3832.97,3417.51,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000035,CUST0074,Jason,Miller,Male,North Kristenfort,SY,Lake Nathanhaven,CA,Lake Rhondaville,,2023-01-06 18:51:00,Debit,1853.28,USD,Chase,Banking,Debit Online at Chase,1,201939000000.0,iDODTkiY,,,5514.34,5596.23,1,,0,2025-12-04T14:55:07.833306
TXN000036,CUST0187,Bryan,Andrade,Male,Wigginsborough,BA,Lake Laurie,NL,Sarahmouth,BA,2023-01-06 22:56:00,Debit,3376.31,USD,Walmart,Retail,Debit Online at Walmart,0,676713000000.0,QwnyVEQu,,,9006.42,8284.74,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000037,CUST0200,Sheri,Ortega,Female,Port Patrickland,SK,Doyletown,EC,Port Patrickland,PW,2023-01-07 03:01:00,Debit,4642.52,USD,Chase,Banking,Debit Online at Chase,0,239330000000.0,pzLXOlhJ,,,2064.84,1166.73,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000038,CUST0082,Casey,Hunt,Male,Williamsview,IE,Dyerport,PE,Williamsview,OM,2023-01-07 07:06:00,Debit,4443.89,USD,Walmart,Retail,Debit Online at Walmart,0,694693000000.0,vZXhWqfQ,,,17664.1,16730.84,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000039,CUST0057,Taylor,Perry,Male,Sheliaside,CF,New Angelaberg,BW,Georgeland,CF,2023-01-07 11:11:00,Credit,1478.8,USD,Apple,Electronics,Credit Online at Apple,1,499105000000.0,cFjQJQnE,23226534030.0,EZhjeAQg,17498.78,17575.48,1,,0,2025-12-04T14:55:07.833306
TXN000040,CUST0002,Robert,Caldwell,Male,Dunnberg,PK,Jamesmouth,BN,North Melindamouth,PK,2023-01-07 15:16:00,Debit,651.59,USD,Walmart,Retail,Debit Online at Walmart,0,239901000000.0,FWgRcObR,,,7460.47,7372.82,1,,0,2025-12-04T14:55:07.833306
TXN000041,CUST0175,Morgan,Reilly,Female,North Amy,GH,Lake Danamouth,SA,Kevinview,GH,2023-01-07 19:21:00,Credit,366.54,USD,Walmart,Retail,Credit Online at Walmart,0,755507000000.0,rJkWbvqX,98911220163.0,NWditWFu,13999.19,14155.9,1,,0,2025-12-04T14:55:07.833306
TXN000042,CUST0016,Kelly,Lopez,Male,Peterview,PE,North Jamiemouth,NL,New Dennisbury,IN,2023-01-07 23:26:00,Credit,116.98,USD,OffshoreBank,Banking,Credit Online at OffshoreBank,1,527947000000.0,TjyZHRFS,92123557773.0,piIbEYxW,14520.25,14077.36,0,Transaction from blacklisted merchant,0,2025-12-04T14:55:07.833306
TXN000043,CUST0042,Lisa,Richardson,Female,West Sonya,EC,Wongchester,PG,West Sonya,MZ,2023-01-08 03:31:00,Credit,4795.09,USD,Walmart,Retail,Credit Online at Walmart,1,631419000000.0,ifJyRCfV,23642079802.0,ItOUWLfy,12935.84,13748.89,0,New country & high-value transaction,1,2025-12-04T14:55:07.833306
TXN000044,CUST0098,David,Goodwin,Male,Lake Kaylachester,BG,West Heatherfort,CH,East Marialand,SM,2023-01-08 07:36:00,Credit,916.37,USD,Walmart,Retail,Credit Online at Walmart,0,519381000000.0,gefoJzRl,53505381862.0,yvUUgxTA,18526.65,18925.72,0,Login from multiple countries within 24h,0,2025-12-04T14:55:07.833306
TXN000045,CUST0062,Joseph,Walsh,Male,New Zacharyburgh,CR,Janetstad,ME,New Zacharyburgh,CR,2023-01-08 11:41:00,Debit,3295.46,USD,Apple,Electronics,Debit Online at Apple,0,662318000000.0,nOQIjNUX,,,11071.68,11016.03,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000046,CUST0195,Christina,Davis,Female,Hammondville,AU,New Ashley,WS,Myerstown,AU,2023-01-08 15:46:00,Debit,1702.96,USD,Starbucks,Food,Debit Online at Starbucks,1,957373000000.0,MloTOsmy,,,12728.08,13459.91,1,,0,2025-12-04T14:55:07.833306
TXN000047,CUST0153,Tammy,Coffey,Female,Lake Ryanfurt,GB,Carrieland,MC,Edwardstad,TO,2023-01-08 19:51:00,Credit,1631.13,USD,Chase,Banking,Credit Online at Chase,1,186127000000.0,fjwdyiph,23921373718.0,VMKmOlqY,18544.92,18571.77,1,,0,2025-12-04T14:55:07.833306
TXN000048,CUST0027,Cassie,Martin,Female,Port Deborahchester,NI,East Judithbury,MH,Port Deborahchester,NI,2023-01-08 23:56:00,Credit,1833.18,USD,OffshoreBank,Banking,Credit Online at OffshoreBank,0,849379000000.0,PbFcIToR,66159388295.0,pGpngInB,5083.58,5664.55,0,Transaction from blacklisted merchant,0,2025-12-04T14:55:07.833306
TXN000049,CUST0069,Melissa,Roy,Female,East Amber,CF,Loriport,RU,East Amber,CF,2023-01-09 04:01:00,Credit,4145.06,USD,Amazon,E-commerce,Credit Online at Amazon,1,971969000000.0,IuSsvEfp,98976108077.0,AkhYLUBT,4865.29,5057.33,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000050,CUST0161,Jacob,Petersen,Male,Port Garyberg,KH,Cartermouth,PG,New Tiffany,KH,2023-01-09 08:06:00,Debit,1408.44,USD,Amazon,E-commerce,Debit Online at Amazon,0,577638000000.0,YygfwPsZ,,,11468.72,12236.63,1,,0,2025-12-04T14:55:07.833306
TXN000051,CUST0084,Carol,Martin,Female,Ellisonchester,PW,Port Taylor,EE,Berrytown,PW,2023-01-09 12:11:00,Credit,878.6,USD,Amazon,E-commerce,Credit Online at Amazon,1,303505000000.0,wVkGEUhS,28696374175.0,eriaYoJn,9510.57,8577.09,1,,0,2025-12-04T14:55:07.833306
TXN000052,CUST0045,Barbara,Guzman,Female,Lake Douglas,NE,Toddbury,NR,Lake Douglas,NE,2023-01-09 16:16:00,Credit,746.93,USD,Walmart,Retail,Credit Online at Walmart,1,672672000000.0,fnUlWReY,46525229928.0,QukUHBve,2355.37,3339.89,1,,0,2025-12-04T14:55:07.833306
TXN000053,CUST0049,Joseph,Smith,Male,East Natashashire,VN,Jeanchester,AG,East Natashashire,VN,2023-01-09 20:22:00,Credit,4861.74,USD,Chase,Banking,Credit Online at Chase,1,745157000000.0,MGFnBrYU,78466307771.0,OmJYJrqE,11583.71,11754.89,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000054,CUST0182,Carrie,Daniel,Female,West Ryanmouth,GT,Jameshaven,UA,West Ryanmouth,GT,2023-01-10 00:27:00,Credit,4157.86,USD,Hilton,Hotel,Credit Online at Hilton,1,763268000000.0,egejDKpZ,31621338002.0,rUDwBkLx,1800.88,911.26,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000055,CUST0110,Samuel,Porter,Male,Lake Nicolasville,JO,Johnmouth,PK,Lake Nicolasville,GH,2023-01-10 04:32:00,Debit,4152.77,USD,Amazon,E-commerce,Debit Online at Amazon,0,665044000000.0,QRigRtHA,,,6424.49,6329.97,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000056,CUST0163,Jim,Butler,Male,South Ryan,LI,Bradview,TR,Brendanview,LI,2023-01-10 08:37:00,Debit,2468.9,USD,Delta Airlines,Travel,Debit Online at Delta Airlines,1,553883000000.0,UOKwTaPp,,,19107.43,19736.2,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000057,CUST0068,Katherine,Young,Female,Garciaborough,KH,Williammouth,CA,Garciaborough,KH,2023-01-10 12:42:00,Debit,2461.71,USD,Delta Airlines,Travel,Debit Online at Delta Airlines,0,762212000000.0,KKDcpcSi,,,10991.14,10646.73,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000058,CUST0078,William,Bautista,Male,Crawfordberg,PA,Paulview,VE,Jamesport,PA,2023-01-10 16:47:00,Debit,557.96,USD,Hilton,Hotel,Debit Online at Hilton,1,248661000000.0,hJzwwyAJ,,,14541.13,13986.35,1,,0,2025-12-04T14:55:07.833306
TXN000059,CUST0031,Mackenzie,Mathews,Female,Carriestad,ER,Foxburgh,VA,Carriestad,LA,2023-01-10 20:52:00,Debit,3763.8,USD,Delta Airlines,Travel,Debit Online at Delta Airlines,1,217158000000.0,SqiEPwKy,,,13264.63,14234.15,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000060,CUST0094,Richard,Werner,Male,New Tony,VN,East Carrie,BN,New Tony,NG,2023-01-11 00:57:00,Credit,907.7,USD,Hilton,Hotel,Credit Online at Hilton,0,287064000000.0,yqNNNsSh,91244979349.0,NLAiaPew,5695.87,6177.41,1,,0,2025-12-04T14:55:07.833306
TXN000061,CUST0070,Olivia,Long,Female,Jasmineburgh,LB,South Natashahaven,KW,Jasmineburgh,LB,2023-01-11 05:02:00,Credit,582.99,USD,Chase,Banking,Credit Online at Chase,0,854468000000.0,rufiqrty,51814729426.0,oqXBjteG,1165.33,2071.9,1,,0,2025-12-04T14:55:07.833306
TXN000062,CUST0077,Anthony,Burnett,Male,Robinsonport,MR,East Justin,TH,Sharonberg,MR,2023-01-11 09:07:00,Credit,1971.22,USD,Chase,Banking,Credit Online at Chase,0,288341000000.0,wANtjAYh,99446729942.0,mQsdbWKi,7133.63,7640.18,1,,0,2025-12-04T14:55:07.833306
TXN000063,CUST0113,Randy,Gallagher,Male,East Claudia,RO,Greenport,CY,New Ebony,BT,2023-01-11 13:12:00,Debit,1425.32,USD,Amazon,E-commerce,Debit Online at Amazon,1,903648000000.0,bMVTRvEI,,,7267.35,6525.83,0,Suspicious login location,0,2025-12-04T14:55:07.833306
TXN000064,CUST0012,Erika,Middleton,Female,Calebborough,CY,Mitchellport,MG,Calebborough,CY,2023-01-11 17:17:00,Debit,2541.42,USD,OffshoreBank,Banking,Debit Online at OffshoreBank,0,242812000000.0,HxFsjOpR,,,4911.21,5138.91,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000065,CUST0080,Beverly,Blevins,Female,New Timothyville,EE,Coxbury,AG,New Andrew,CH,2023-01-11 21:22:00,Credit,2014.32,USD,OffshoreBank,Banking,Credit Online at OffshoreBank,1,114230000000.0,jHatHpLd,35019372262.0,lqRxTXxy,16138.96,16566.76,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000066,CUST0040,Jeffrey,Lee,Male,North Rodneyborough,RS,Pamelaton,CL,East Hannah,RS,2023-01-12 01:27:00,Debit,2490.38,USD,Delta Airlines,Travel,Debit Online at Delta Airlines,1,341992000000.0,InJJiAwP,,,1891.11,2754.83,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000067,CUST0101,Nathan,Hale,Male,Lynnbury,RU,Port Barbara,CN,Lynnbury,KZ,2023-01-12 05:32:00,Credit,3703.85,USD,Shell,Fuel,Credit Online at Shell,1,219493000000.0,LOHqyaMk,50952426840.0,eTLxqAdz,7184.58,6918.94,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000068,CUST0023,Sandra,Boyd,Female,East Loganville,TV,North Colleen,GW,Port Mitchellhaven,NI,2023-01-12 09:37:00,Debit,91.24,USD,Walmart,Retail,Debit Online at Walmart,1,598256000000.0,moNOgeac,,,15055.67,15836.98,0,Transaction at unusual hour,0,2025-12-04T14:55:07.833306
TXN000069,CUST0126,Roberta,Walker,Female,Nicholasburgh,MD,Hernandezport,KG,North Ryanbury,GY,2023-01-12 13:42:00,Credit,1220.13,USD,Amazon,E-commerce,Credit Online at Amazon,1,198615000000.0,wfOaCUMA,32390143450.0,tzceefFs,9084.73,9044.93,1,,0,2025-12-04T14:55:07.833306
TXN000070,CUST0131,Terry,Salazar,Male,South Jennifer,SY,West Keithstad,TN,South Jennifer,MW,2023-01-12 17:47:00,Debit,1915.66,USD,Hilton,Hotel,Debit Online at Hilton,0,117670000000.0,JSCFgjLa,,,10530.57,9866.91,1,,0,2025-12-04T14:55:07.833306
TXN000071,CUST0017,Donna,Mooney,Female,Wilsonborough,DM,Keithland,ZW,Fitzpatrickfort,RS,2023-01-12 21:52:00,Debit,3968.92,USD,Hilton,Hotel,Debit Online at Hilton,1,444515000000.0,HceLupMM,,,14299.93,13684.1,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000072,CUST0041,Andrea,Williams,Female,Kleinland,MA,Madisonmouth,LK,Kleinland,FR,2023-01-13 01:57:00,Debit,4790.2,USD,Uber,Transport,Debit Online at Uber,0,266613000000.0,DxAdedQx,,,6713.98,6831.55,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000073,CUST0033,Joshua,Wall,Male,Jeffreyburgh,ZW,Robertton,SC,Jeffreyburgh,BY,2023-01-13 06:02:00,Debit,3219.48,USD,Amazon,E-commerce,Debit Online at Amazon,1,717847000000.0,bfDxeYhr,,,6490.33,7252.14,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000074,CUST0045,Nancy,Anderson,Female,Port Megan,TZ,West Pam,IE,Port Megan,GR,2023-01-13 10:07:00,Debit,918.77,USD,Hilton,Hotel,Debit Online at Hilton,1,759243000000.0,phATKXRL,,,12988.24,13278.83,1,,0,2025-12-04T14:55:07.833306
TXN000075,CUST0117,Terry,Leon,Male,East Joshuahaven,FM,Lindseyborough,PL,East Joshuahaven,FM,2023-01-13 14:12:00,Debit,1293.3,USD,Hilton,Hotel,Debit Online at Hilton,0,307281000000.0,MuICJKlL,,,10720.22,10894.3,1,,0,2025-12-04T14:55:07.833306
TXN000076,CUST0170,Ann,Reyes,Female,Walkerton,PW,Mooreview,JP,Walkerton,IS,2023-01-13 18:17:00,Credit,2602.98,USD,Starbucks,Food,Credit Online at Starbucks,1,152101000000.0,SmeljHOJ,41509455078.0,wUBfWMaX,10158.72,10682.63,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000077,CUST0180,Michael,Harris,Male,South Lauraburgh,HU,Arthurside,PK,Daviesland,MZ,2023-01-13 22:22:00,Debit,1365.34,USD,Apple,Electronics,Debit Online at Apple,1,164062000000.0,sQWuDXsu,,,14653.52,15418.79,1,,0,2025-12-04T14:55:07.833306
TXN000078,CUST0078,Robert,Nguyen,Male,North Georgeview,GD,Robertmouth,TZ,Edwardland,GD,2023-01-14 02:28:00,Credit,4475.49,USD,Amazon,E-commerce,Credit Online at Amazon,1,779429000000.0,DoWgQBId,75046214441.0,crfbrfOm,9991.24,9940.07,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000079,CUST0063,Tyler,Ellis,Male,New Madison,ZA,Alexanderville,EE,New Madison,IQ,2023-01-14 06:33:00,Credit,4465.27,USD,OffshoreBank,Banking,Credit Online at OffshoreBank,1,436305000000.0,nNFxbkuy,45327733528.0,XmHhemQu,6031.24,5202.18,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000080,CUST0007,Edward,Garrison,Male,Medinamouth,CY,Carterfurt,JO,Medinamouth,CY,2023-01-14 10:38:00,Debit,2946.36,USD,Apple,Electronics,Debit Online at Apple,1,629896000000.0,kCyYNJvc,,,1724.52,1081.5,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000081,CUST0121,Jeffrey,Smith,Male,Lake Jennifer,VN,Walkerfurt,UG,Lake Jennifer,OM,2023-01-14 14:43:00,Debit,3577.27,USD,Delta Airlines,Travel,Debit Online at Delta Airlines,0,784468000000.0,uDlannWd,,,18467.29,18611.31,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000082,CUST0177,Kerry,Martin,Female,Gillespieside,BZ,Lake Walterchester,MN,Gillespieside,BZ,2023-01-14 18:48:00,Debit,2356.35,USD,OffshoreBank,Banking,Debit Online at OffshoreBank,0,372145000000.0,WnPKpyIM,,,9326.33,9798.22,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000083,CUST0109,Sandra,Huang,Female,South Tylerstad,LI,South David,SC,South Tylerstad,LI,2023-01-14 22:53:00,Debit,2872.93,USD,Chase,Banking,Debit Online at Chase,0,998746000000.0,ANFYzlrx,,,3123.14,3490.82,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
TXN000084,CUST0159,Anthony,Price,Male,West Erinburgh,HT,New Steven,GY,Bullockview,HT,2023-01-15 02:58:00,Credit,4300.81,USD,Delta Airlines,Travel,Credit Online at Delta Airlines,0,267728000000.0,nvDhsTuS,24589424158.0,iNkiRtYA,1380.15,1536.71,0,New country & high-value transaction,0,2025-12-04T14:55:07.833306
