TransactionID,CustomerID,FirstName,LastName,Gender,HomeCity,HomeCountry,TransactionLocationCity,TransactionLocationCountry,LoginLocationCity,LoginLocationCountry,DateTime,Type,Amount,Currency,Merchant,Category,Description,IsByCheck,AccountNumber,SWIFT_BIC,ReceiverAccount,ReceiverSWIFT,BalanceAfter,AvgDailyBalance,Legitimate,FraudReason
TXN000015,CUST0081,Micheal,Dodson,Male,Vegabury,LR,Jonesbury,SM,Vegabury,KR,1/3/2023 9:10,Debit,2675.61,USD,Hilton,Hotel,Debit Online at Hilton,0,4.6124E+11,yZbScwkL,,,10535.83,10482.87,0,New country & high-value transaction
TXN000016,CUST0156,Jacob,Greer,Male,North Abigailton,ME,Lake Leslieborough,TD,North Abigailton,ME,1/3/2023 13:15,Credit,1207.59,USD,Hilton,Hotel,Credit Online at Hilton,0,4.89412E+11,QQHLjhml,18738041497,vZlZPAPx,3346,4288.22,1,
TXN000017,CUST0071,Sarah,Banks,Female,East Teresa,CR,South Danielle,GB,West Brian,CR,1/3/2023 17:20,Debit,80.46,USD,Hilton,Hotel,Debit Online at Hilton,0,8.55204E+11,HirppBUo,,,7332.02,7363.18,1,
TXN000018,CUST0145,Thomas,Ellison,Male,Port Christian,GW,West Calvin,BA,Robertsmouth,SG,1/3/2023 21:25,Debit,2086.22,USD,Shell,Fuel,Debit Online at Shell,0,8.14099E+11,OuzKekAo,,,12607.63,13092.38,0,New country & high-value transaction
TXN000019,CUST0137,Joshua,Miller,Male,East Christopher,BZ,East Matthewton,MW,Wilsonville,AL,1/4/2023 1:30,Credit,4930.73,USD,Apple,Electronics,Credit Online at Apple,1,1.62228E+11,xGHHwlcp,85124891784,WAXMVewh,7050.49,6272.77,0,New country & high-value transaction
TXN000020,CUST0153,Joshua,Smith,Male,Smithburgh,GB,Larrybury,PL,Smithburgh,TH,1/4/2023 5:35,Credit,2655.3,USD,OffshoreBank,Banking,Credit Online at OffshoreBank,0,8.69063E+11,DMxCWngk,80570523672,YALulmuP,8150.67,9009.91,0,New country & high-value transaction
TXN000021,CUST0122,Ashley,Robertson,Female,Ericburgh,VA,Martinshire,GW,New Jacob,AF,1/4/2023 9:40,Debit,542.3,USD,Delta Airlines,Travel,Debit Online at Delta Airlines,1,5.38752E+11,iJSSPldJ,,,6982.86,6346.58,1,
TXN000022,CUST0172,Bradley,Cross,Male,Phamburgh,MT,Pamelahaven,CU,Port Oliviaborough,MT,1/4/2023 13:45,Debit,4412.6,USD,Uber,Transport,Debit Online at Uber,0,5.12498E+11,htMZZLmM,,,12128.3,11829.89,0,New country & high-value transaction
TXN000023,CUST0010,Mark,James,Male,South Kathryn,PH,North Tonyaside,FM,Port Lisatown,KG,1/4/2023 17:50,Debit,2230.06,USD,Amazon,E-commerce,Debit Online at Amazon,1,1.58218E+11,qHEbmWbD,,,1587.87,1049.76,0,New country & high-value transaction
TXN000024,CUST0082,Brenda,Noble,Female,Hughesshire,CD,Catherinefurt,KW,Barbarabury,SO,1/4/2023 21:55,Debit,2328.9,USD,Uber,Transport,Debit Online at Uber,0,4.93453E+11,meJFmHxD,,,18095.72,18051.96,0,New country & high-value transaction
TXN000025,CUST0003,Michael,Brown,Male,Molinachester,TO,South Lisa,SE,Molinachester,GH,1/5/2023 2:00,Credit,4934.67,USD,Delta Airlines,Travel,Credit Online at Delta Airlines,1,9.73589E+11,vGSyTxXn,67752085256,uLIzqviK,13033.33,12233.86,0,New country & high-value transaction
TXN000026,CUST0101,Zachary,Stephens,Male,Martinport,HN,South Brandonmouth,,South Monique,HN,1/5/2023 6:05,Credit,1918.7,USD,Delta Airlines,Travel,Credit Online at Delta Airlines,0,8.83678E+11,HpESDfoR,21305057185,XpIsYKRc,11885.2,12315.61,1,
TXN000027,CUST0103,Kathleen,Grimes,Female,North Michelle,AF,New Katrinaburgh,AR,North Michelle,QA,1/5/2023 10:11,Debit,554.67,USD,Chase,Banking,Debit Online at Chase,0,6.32809E+11,sVsmPqml,,,1797.13,1394.4,0,Suspicious login location
TXN000028,CUST0183,Kyle,Owens,Male,North Nicole,SE,Shelbyhaven,IS,North Nicole,AO,1/5/2023 14:16,Debit,872.89,USD,Shell,Fuel,Debit Online at Shell,0,9.58304E+11,siXekxGX,,,8881.29,8524.09,1,
TXN000029,CUST0142,Michael,Crane,Male,New Kathleenshire,SV,Debrastad,MV,Lake Diana,GN,1/5/2023 18:21,Debit,378.14,USD,Hilton,Hotel,Debit Online at Hilton,1,9.58388E+11,OqWMebYK,,,3778.35,3949.62,0,Suspicious login location
TXN000030,CUST0010,Heather,Jackson,Female,East Reneemouth,BR,Melissaborough,TD,Karenbury,BR,1/5/2023 22:26,Credit,4444.5,USD,OffshoreBank,Banking,Credit Online at OffshoreBank,0,3.66185E+11,ycLFFBNC,37528070876,hOJkZMce,8569.06,9138,0,New country & high-value transaction
TXN000031,CUST0030,Brittany,Robinson,Female,Royburgh,WS,Port Frank,DE,New Robert,NZ,1/6/2023 2:31,Debit,2151.69,USD,Apple,Electronics,Debit Online at Apple,1,5.07269E+11,GHEHtdrC,,,3983.42,4325.56,0,New country & high-value transaction
TXN000032,CUST0026,Ashley,Rice,Female,Port Stephaniebury,EG,Nicholasmouth,VN,Port Stephaniebury,EG,1/6/2023 6:36,Debit,1658.45,USD,OffshoreBank,Banking,Debit Online at OffshoreBank,1,1.78364E+11,JvMFYJkQ,,,17217.24,18047.05,0,Transaction from blacklisted merchant
TXN000033,CUST0082,Melinda,Mata,Female,New Crystalside,LI,Dawnmouth,CU,South Benjamin,LI,1/6/2023 10:41,Credit,548.94,USD,Hilton,Hotel,Credit Online at Hilton,1,1.48446E+11,FWeRVduo,89261917413,BGSVIhDj,2778.38,2061.39,1,
TXN000034,CUST0076,Justin,Freeman,Male,Jaredport,PT,Toddport,MY,Jaredport,PT,1/6/2023 14:46,Debit,4980.22,USD,Shell,Fuel,Debit Online at Shell,0,3.84073E+11,sbnRPhjL,,,3832.97,3417.51,0,New country & high-value transaction
TXN000035,CUST0074,Jason,Miller,Male,North Kristenfort,SY,Lake Nathanhaven,CA,Lake Rhondaville,,1/6/2023 18:51,Debit,1853.28,USD,Chase,Banking,Debit Online at Chase,1,2.01939E+11,iDODTkiY,,,5514.34,5596.23,1,
TXN000036,CUST0187,Bryan,Andrade,Male,Wigginsborough,BA,Lake Laurie,NL,Sarahmouth,BA,1/6/2023 22:56,Debit,3376.31,USD,Walmart,Retail,Debit Online at Walmart,0,6.76713E+11,QwnyVEQu,,,9006.42,8284.74,0,New country & high-value transaction
TXN000037,CUST0200,Sheri,Ortega,Female,Port Patrickland,SK,Doyletown,EC,Port Patrickland,PW,1/7/2023 3:01,Debit,4642.52,USD,Chase,Banking,Debit Online at Chase,0,2.3933E+11,pzLXOlhJ,,,2064.84,1166.73,0,New country & high-value transaction
TXN000038,CUST0082,Casey,Hunt,Male,Williamsview,IE,Dyerport,PE,Williamsview,OM,1/7/2023 7:06,Debit,4443.89,USD,Walmart,Retail,Debit Online at Walmart,0,6.94693E+11,vZXhWqfQ,,,17664.1,16730.84,0,New country & high-value transaction
TXN000039,CUST0057,Taylor,Perry,Male,Sheliaside,CF,New Angelaberg,BW,Georgeland,CF,1/7/2023 11:11,Credit,1478.8,USD,Apple,Electronics,Credit Online at Apple,1,4.99105E+11,cFjQJQnE,23226534030,EZhjeAQg,17498.78,17575.48,1,
TXN000040,CUST0002,Robert,Caldwell,Male,Dunnberg,PK,Jamesmouth,BN,North Melindamouth,PK,1/7/2023 15:16,Debit,651.59,USD,Walmart,Retail,Debit Online at Walmart,0,2.39901E+11,FWgRcObR,,,7460.47,7372.82,1,
TXN000041,CUST0175,Morgan,Reilly,Female,North Amy,GH,Lake Danamouth,SA,Kevinview,GH,1/7/2023 19:21,Credit,366.54,USD,Walmart,Retail,Credit Online at Walmart,0,7.55507E+11,rJkWbvqX,98911220163,NWditWFu,13999.19,14155.9,1,
TXN000042,CUST0016,Kelly,Lopez,Male,Peterview,PE,North Jamiemouth,NL,New Dennisbury,IN,1/7/2023 23:26,Credit,116.98,USD,OffshoreBank,Banking,Credit Online at OffshoreBank,1,5.27947E+11,TjyZHRFS,92123557773,piIbEYxW,14520.25,14077.36,0,Transaction from blacklisted merchant
TXN000043,CUST0042,Lisa,Richardson,Female,West Sonya,EC,Wongchester,PG,West Sonya,MZ,1/8/2023 3:31,Credit,4795.09,USD,Walmart,Retail,Credit Online at Walmart,1,6.31419E+11,ifJyRCfV,23642079802,ItOUWLfy,12935.84,13748.89,0,New country & high-value transaction
TXN000044,CUST0098,David,Goodwin,Male,Lake Kaylachester,BG,West Heatherfort,CH,East Marialand,SM,1/8/2023 7:36,Credit,916.37,USD,Walmart,Retail,Credit Online at Walmart,0,5.19381E+11,gefoJzRl,53505381862,yvUUgxTA,18526.65,18925.72,0,Login from multiple countries within 24h
TXN000045,CUST0062,Joseph,Walsh,Male,New Zacharyburgh,CR,Janetstad,ME,New Zacharyburgh,CR,1/8/2023 11:41,Debit,3295.46,USD,Apple,Electronics,Debit Online at Apple,0,6.62318E+11,nOQIjNUX,,,11071.68,11016.03,0,New country & high-value transaction
TXN000046,CUST0195,Christina,Davis,Female,Hammondville,AU,New Ashley,WS,Myerstown,AU,1/8/2023 15:46,Debit,1702.96,USD,Starbucks,Food,Debit Online at Starbucks,1,9.57373E+11,MloTOsmy,,,12728.08,13459.91,1,
TXN000047,CUST0153,Tammy,Coffey,Female,Lake Ryanfurt,GB,Carrieland,MC,Edwardstad,TO,1/8/2023 19:51,Credit,1631.13,USD,Chase,Banking,Credit Online at Chase,1,1.86127E+11,fjwdyiph,23921373718,VMKmOlqY,18544.92,18571.77,1,
TXN000048,CUST0027,Cassie,Martin,Female,Port Deborahchester,NI,East Judithbury,MH,Port Deborahchester,NI,1/8/2023 23:56,Credit,1833.18,USD,OffshoreBank,Banking,Credit Online at OffshoreBank,0,8.49379E+11,PbFcIToR,66159388295,pGpngInB,5083.58,5664.55,0,Transaction from blacklisted merchant
TXN000049,CUST0069,Melissa,Roy,Female,East Amber,CF,Loriport,RU,East Amber,CF,1/9/2023 4:01,Credit,4145.06,USD,Amazon,E-commerce,Credit Online at Amazon,1,9.71969E+11,IuSsvEfp,98976108077,AkhYLUBT,4865.29,5057.33,0,New country & high-value transaction
TXN000050,CUST0161,Jacob,Petersen,Male,Port Garyberg,KH,Cartermouth,PG,New Tiffany,KH,1/9/2023 8:06,Debit,1408.44,USD,Amazon,E-commerce,Debit Online at Amazon,0,5.77638E+11,YygfwPsZ,,,11468.72,12236.63,1,
TXN000051,CUST0084,Carol,Martin,Female,Ellisonchester,PW,Port Taylor,EE,Berrytown,PW,1/9/2023 12:11,Credit,878.6,USD,Amazon,E-commerce,Credit Online at Amazon,1,3.03505E+11,wVkGEUhS,28696374175,eriaYoJn,9510.57,8577.09,1,
TXN000052,CUST0045,Barbara,Guzman,Female,Lake Douglas,NE,Toddbury,NR,Lake Douglas,NE,1/9/2023 16:16,Credit,746.93,USD,Walmart,Retail,Credit Online at Walmart,1,6.72672E+11,fnUlWReY,46525229928,QukUHBve,2355.37,3339.89,1,
TXN000053,CUST0049,Joseph,Smith,Male,East Natashashire,VN,Jeanchester,AG,East Natashashire,VN,1/9/2023 20:22,Credit,4861.74,USD,Chase,Banking,Credit Online at Chase,1,7.45157E+11,MGFnBrYU,78466307771,OmJYJrqE,11583.71,11754.89,0,New country & high-value transaction
TXN000054,CUST0182,Carrie,Daniel,Female,West Ryanmouth,GT,Jameshaven,UA,West Ryanmouth,GT,1/10/2023 0:27,Credit,4157.86,USD,Hilton,Hotel,Credit Online at Hilton,1,7.63268E+11,egejDKpZ,31621338002,rUDwBkLx,1800.88,911.26,0,New country & high-value transaction
TXN000055,CUST0110,Samuel,Porter,Male,Lake Nicolasville,JO,Johnmouth,PK,Lake Nicolasville,GH,1/10/2023 4:32,Debit,4152.77,USD,Amazon,E-commerce,Debit Online at Amazon,0,6.65044E+11,QRigRtHA,,,6424.49,6329.97,0,New country & high-value transaction
TXN000056,CUST0163,Jim,Butler,Male,South Ryan,LI,Bradview,TR,Brendanview,LI,1/10/2023 8:37,Debit,2468.9,USD,Delta Airlines,Travel,Debit Online at Delta Airlines,1,5.53883E+11,UOKwTaPp,,,19107.43,19736.2,0,New country & high-value transaction
TXN000057,CUST0068,Katherine,Young,Female,Garciaborough,KH,Williammouth,CA,Garciaborough,KH,1/10/2023 12:42,Debit,2461.71,USD,Delta Airlines,Travel,Debit Online at Delta Airlines,0,7.62212E+11,KKDcpcSi,,,10991.14,10646.73,0,New country & high-value transaction
TXN000058,CUST0078,William,Bautista,Male,Crawfordberg,PA,Paulview,VE,Jamesport,PA,1/10/2023 16:47,Debit,557.96,USD,Hilton,Hotel,Debit Online at Hilton,1,2.48661E+11,hJzwwyAJ,,,14541.13,13986.35,1,
TXN000059,CUST0031,Mackenzie,Mathews,Female,Carriestad,ER,Foxburgh,VA,Carriestad,LA,1/10/2023 20:52,Debit,3763.8,USD,Delta Airlines,Travel,Debit Online at Delta Airlines,1,2.17158E+11,SqiEPwKy,,,13264.63,14234.15,0,New country & high-value transaction
TXN000060,CUST0094,Richard,Werner,Male,New Tony,VN,East Carrie,BN,New Tony,NG,1/11/2023 0:57,Credit,907.7,USD,Hilton,Hotel,Credit Online at Hilton,0,2.87064E+11,yqNNNsSh,91244979349,NLAiaPew,5695.87,6177.41,1,
TXN000061,CUST0070,Olivia,Long,Female,Jasmineburgh,LB,South Natashahaven,KW,Jasmineburgh,LB,1/11/2023 5:02,Credit,582.99,USD,Chase,Banking,Credit Online at Chase,0,8.54468E+11,rufiqrty,51814729426,oqXBjteG,1165.33,2071.9,1,
TXN000062,CUST0077,Anthony,Burnett,Male,Robinsonport,MR,East Justin,TH,Sharonberg,MR,1/11/2023 9:07,Credit,1971.22,USD,Chase,Banking,Credit Online at Chase,0,2.88341E+11,wANtjAYh,99446729942,mQsdbWKi,7133.63,7640.18,1,
TXN000063,CUST0113,Randy,Gallagher,Male,East Claudia,RO,Greenport,CY,New Ebony,BT,1/11/2023 13:12,Debit,1425.32,USD,Amazon,E-commerce,Debit Online at Amazon,1,9.03648E+11,bMVTRvEI,,,7267.35,6525.83,0,Suspicious login location
TXN000064,CUST0012,Erika,Middleton,Female,Calebborough,CY,Mitchellport,MG,Calebborough,CY,1/11/2023 17:17,Debit,2541.42,USD,OffshoreBank,Banking,Debit Online at OffshoreBank,0,2.42812E+11,HxFsjOpR,,,4911.21,5138.91,0,New country & high-value transaction
TXN000065,CUST0080,Beverly,Blevins,Female,New Timothyville,EE,Coxbury,AG,New Andrew,CH,1/11/2023 21:22,Credit,2014.32,USD,OffshoreBank,Banking,Credit Online at OffshoreBank,1,1.1423E+11,jHatHpLd,35019372262,lqRxTXxy,16138.96,16566.76,0,New country & high-value transaction
TXN000066,CUST0040,Jeffrey,Lee,Male,North Rodneyborough,RS,Pamelaton,CL,East Hannah,RS,1/12/2023 1:27,Debit,2490.38,USD,Delta Airlines,Travel,Debit Online at Delta Airlines,1,3.41992E+11,InJJiAwP,,,1891.11,2754.83,0,New country & high-value transaction
TXN000067,CUST0101,Nathan,Hale,Male,Lynnbury,RU,Port Barbara,CN,Lynnbury,KZ,1/12/2023 5:32,Credit,3703.85,USD,Shell,Fuel,Credit Online at Shell,1,2.19493E+11,LOHqyaMk,50952426840,eTLxqAdz,7184.58,6918.94,0,New country & high-value transaction
TXN000068,CUST0023,Sandra,Boyd,Female,East Loganville,TV,North Colleen,GW,Port Mitchellhaven,NI,1/12/2023 9:37,Debit,91.24,USD,Walmart,Retail,Debit Online at Walmart,1,5.98256E+11,moNOgeac,,,15055.67,15836.98,0,Transaction at unusual hour
TXN000069,CUST0126,Roberta,Walker,Female,Nicholasburgh,MD,Hernandezport,KG,North Ryanbury,GY,1/12/2023 13:42,Credit,1220.13,USD,Amazon,E-commerce,Credit Online at Amazon,1,1.98615E+11,wfOaCUMA,32390143450,tzceefFs,9084.73,9044.93,1,
TXN000070,CUST0131,Terry,Salazar,Male,South Jennifer,SY,West Keithstad,TN,South Jennifer,MW,1/12/2023 17:47,Debit,1915.66,USD,Hilton,Hotel,Debit Online at Hilton,0,1.1767E+11,JSCFgjLa,,,10530.57,9866.91,1,
TXN000071,CUST0017,Donna,Mooney,Female,Wilsonborough,DM,Keithland,ZW,Fitzpatrickfort,RS,1/12/2023 21:52,Debit,3968.92,USD,Hilton,Hotel,Debit Online at Hilton,1,4.44515E+11,HceLupMM,,,14299.93,13684.1,0,New country & high-value transaction
TXN000072,CUST0041,Andrea,Williams,Female,Kleinland,MA,Madisonmouth,LK,Kleinland,FR,1/13/2023 1:57,Debit,4790.2,USD,Uber,Transport,Debit Online at Uber,0,2.66613E+11,DxAdedQx,,,6713.98,6831.55,0,New country & high-value transaction
TXN000073,CUST0033,Joshua,Wall,Male,Jeffreyburgh,ZW,Robertton,SC,Jeffreyburgh,BY,1/13/2023 6:02,Debit,3219.48,USD,Amazon,E-commerce,Debit Online at Amazon,1,7.17847E+11,bfDxeYhr,,,6490.33,7252.14,0,New country & high-value transaction
TXN000074,CUST0045,Nancy,Anderson,Female,Port Megan,TZ,West Pam,IE,Port Megan,GR,1/13/2023 10:07,Debit,918.77,USD,Hilton,Hotel,Debit Online at Hilton,1,7.59243E+11,phATKXRL,,,12988.24,13278.83,1,
TXN000075,CUST0117,Terry,Leon,Male,East Joshuahaven,FM,Lindseyborough,PL,East Joshuahaven,FM,1/13/2023 14:12,Debit,1293.3,USD,Hilton,Hotel,Debit Online at Hilton,0,3.07281E+11,MuICJKlL,,,10720.22,10894.3,1,
TXN000076,CUST0170,Ann,Reyes,Female,Walkerton,PW,Mooreview,JP,Walkerton,IS,1/13/2023 18:17,Credit,2602.98,USD,Starbucks,Food,Credit Online at Starbucks,1,1.52101E+11,SmeljHOJ,41509455078,wUBfWMaX,10158.72,10682.63,0,New country & high-value transaction
TXN000077,CUST0180,Michael,Harris,Male,South Lauraburgh,HU,Arthurside,PK,Daviesland,MZ,1/13/2023 22:22,Debit,1365.34,USD,Apple,Electronics,Debit Online at Apple,1,1.64062E+11,sQWuDXsu,,,14653.52,15418.79,1,
TXN000078,CUST0078,Robert,Nguyen,Male,North Georgeview,GD,Robertmouth,TZ,Edwardland,GD,1/14/2023 2:28,Credit,4475.49,USD,Amazon,E-commerce,Credit Online at Amazon,1,7.79429E+11,DoWgQBId,75046214441,crfbrfOm,9991.24,9940.07,0,New country & high-value transaction
TXN000079,CUST0063,Tyler,Ellis,Male,New Madison,ZA,Alexanderville,EE,New Madison,IQ,1/14/2023 6:33,Credit,4465.27,USD,OffshoreBank,Banking,Credit Online at OffshoreBank,1,4.36305E+11,nNFxbkuy,45327733528,XmHhemQu,6031.24,5202.18,0,New country & high-value transaction
TXN000080,CUST0007,Edward,Garrison,Male,Medinamouth,CY,Carterfurt,JO,Medinamouth,CY,1/14/2023 10:38,Debit,2946.36,USD,Apple,Electronics,Debit Online at Apple,1,6.29896E+11,kCyYNJvc,,,1724.52,1081.5,0,New country & high-value transaction
TXN000081,CUST0121,Jeffrey,Smith,Male,Lake Jennifer,VN,Walkerfurt,UG,Lake Jennifer,OM,1/14/2023 14:43,Debit,3577.27,USD,Delta Airlines,Travel,Debit Online at Delta Airlines,0,7.84468E+11,uDlannWd,,,18467.29,18611.31,0,New country & high-value transaction
TXN000082,CUST0177,Kerry,Martin,Female,Gillespieside,BZ,Lake Walterchester,MN,Gillespieside,BZ,1/14/2023 18:48,Debit,2356.35,USD,OffshoreBank,Banking,Debit Online at OffshoreBank,0,3.72145E+11,WnPKpyIM,,,9326.33,9798.22,0,New country & high-value transaction
TXN000083,CUST0109,Sandra,Huang,Female,South Tylerstad,LI,South David,SC,South Tylerstad,LI,1/14/2023 22:53,Debit,2872.93,USD,Chase,Banking,Debit Online at Chase,0,9.98746E+11,ANFYzlrx,,,3123.14,3490.82,0,New country & high-value transaction
TXN000084,CUST0159,Anthony,Price,Male,West Erinburgh,HT,New Steven,GY,Bullockview,HT,1/15/2023 2:58,Credit,4300.81,USD,Delta Airlines,Travel,Credit Online at Delta Airlines,0,2.67728E+11,nvDhsTuS,24589424158,iNkiRtYA,1380.15,1536.71,0,New country & high-value transaction
TXN000085,CUST0156,Paul,Smith,Male,Port Brianstad,PG,Butlerport,NO,Port Brianstad,GA,1/15/2023 7:03,Debit,364.13,USD,OffshoreBank,Banking,Debit Online at OffshoreBank,0,6.68118E+11,hLptDhZi,,,2016.21,2862.5,1,
TXN000086,CUST0165,Chad,Lee,Male,East Jeremymouth,JO,New Richard,PK,East Jeremymouth,MZ,1/15/2023 11:08,Debit,4636.13,USD,Starbucks,Food,Debit Online at Starbucks,0,5.76316E+11,YnjdHVHH,,,13915.09,13920.08,0,New country & high-value transaction
TXN000087,CUST0166,Amber,Williams,Female,Lake Johnny,MW,New Brianberg,CI,Lake Johnny,RW,1/15/2023 15:13,Credit,1697.07,USD,Walmart,Retail,Credit Online at Walmart,0,1.47781E+11,lPtvRbnv,17465761443,UzNTaMaV,1959.67,1119.75,1,
TXN000088,CUST0146,Sharon,Valdez,Female,Port Zachary,TW,Hayeschester,TN,Port Zachary,KW,1/15/2023 19:18,Credit,4788.56,USD,Starbucks,Food,Credit Online at Starbucks,0,7.59929E+11,VTVZGoyK,76274645428,eckVbfgD,4812.92,4919.65,0,New country & high-value transaction
TXN000089,CUST0117,Sean,Schaefer,Male,Kristenshire,GH,Harrybury,SN,Kristenshire,GH,1/15/2023 23:23,Debit,173.73,USD,OffshoreBank,Banking,Debit Online at OffshoreBank,0,8.76125E+11,YEIHIgNT,,,1254.89,754.18,1,
TXN000090,CUST0172,Alan,Chapman,Male,Bennettchester,CZ,Port Kathrynville,ZW,Cheyennetown,CZ,1/16/2023 3:28,Credit,913.93,USD,Hilton,Hotel,Credit Online at Hilton,0,2.57635E+11,wIoUEPgQ,41833973756,gNktycKG,11926.19,12474.23,0,Unusual currency used
TXN000091,CUST0195,Jeffrey,Sandoval,Male,Christinemouth,TJ,Lake Brian,DK,Christinemouth,TJ,1/16/2023 7:33,Credit,116.19,USD,Delta Airlines,Travel,Credit Online at Delta Airlines,1,4.28657E+11,XSoTMLxK,49344398214,ADUjoFNJ,8099.18,7627.89,1,
TXN000092,CUST0114,Miranda,Briggs,Female,Douglasland,IN,North Jessicaville,HU,Cabreraville,MW,1/16/2023 11:38,Debit,720.46,USD,Hilton,Hotel,Debit Online at Hilton,1,2.04019E+11,BPWWYGZu,,,7712.28,7996.26,0,Suspicious login location
TXN000093,CUST0171,Peter,Williams,Male,Smithmouth,AO,East Tiffany,AE,Smithmouth,UG,1/16/2023 15:43,Debit,841,USD,Apple,Electronics,Debit Online at Apple,1,6.48378E+11,hLmVEZMT,,,10253.69,10101.07,0,Transaction at unusual hour
TXN000094,CUST0158,Travis,Lara,Male,Fischerbury,AR,East Danieltown,CV,Lake Richard,AR,1/16/2023 19:48,Debit,652.25,USD,Apple,Electronics,Debit Online at Apple,0,2.66812E+11,ttTMSRoo,,,3762.65,3788.13,1,
TXN000095,CUST0193,Theresa,Moore,Female,Donaldberg,ST,Cochranview,AU,Donaldberg,CI,1/16/2023 23:53,Credit,4941.82,USD,Hilton,Hotel,Credit Online at Hilton,1,5.81721E+11,LGgFfpAo,70413272850,uoyaPnIJ,16038.52,16016.08,0,New country & high-value transaction
