statement_id,customer_name,account_number,bank_name,statement_start_date,statement_end_date,opening_balance,ending_balance,total_credits,total_debits,transaction_id,transaction_date,transaction_description,merchant_name,category,amount,balance_after,is_credit,is_debit,abs_amount,is_large_transaction,amount_to_balance_ratio,transactions_past_1_day,transactions_past_7_days,cumulative_monthly_credits,cumulative_monthly_debits,is_new_merchant,weekday,day_of_month,is_weekend,is_fraud
S104,Emily Davis,8580,Capital One,2024-01-01,2024-01-31,4471.34,3714.71,3038.46,3795.09,TX29,2024-01-04,gas transaction,Shell,gas,-489.41,3556.13,0,1,489.41,0,0.1376,1,5,2104.47,5790.59,1,5,4,1,1
S212,Sarah Lee,1044,Chase,2024-01-01,2024-01-31,6993.8,10215.68,6090.55,2868.67,TX30,2024-01-27,coffee transaction,Starbucks,coffee,-498.96,9435.66,0,1,498.96,0,0.0529,1,1,4772.34,7927.52,0,4,27,0,1
S270,Alice Johnson,4618,Chase,2024-01-01,2024-01-31,2348.12,-562.64,2429.07,5339.83,TX31,2024-01-24,shopping transaction,Amazon,shopping,193.22,-70.29,1,0,193.22,0,2.7489,2,5,4145.11,4491.58,0,1,24,0,1
S232,Mark Rivera,3342,Citi,2024-01-01,2024-01-31,4027.21,9136.99,5775.52,665.74,TX32,2024-01-07,utilities transaction,Electric Co,utilities,-11.0,8388.25,0,1,11.0,0,0.0013,4,5,926.03,2478.39,0,0,7,0,1
S173,Alice Johnson,4567,Bank of America,2024-01-01,2024-01-31,4195.6,3734.74,3082.02,3542.88,TX33,2024-01-18,groceries transaction,Grocery Mart,groceries,293.69,3715.33,1,0,293.69,0,0.079,0,1,1279.82,7867.92,0,5,18,1,1
S251,Alice Johnson,1223,Chase,2024-01-01,2024-01-31,6735.03,13030.16,6858.04,562.91,TX34,2024-01-07,salary transaction,Employer,salary,3391.85,13494.01,1,0,3391.85,1,0.2514,1,5,2905.05,1602.4,0,4,7,0,1
S155,Alice Johnson,3977,Chase,2024-01-01,2024-01-31,7857.43,10151.29,3916.29,1622.43,TX35,2024-01-17,utilities transaction,Electric Co,utilities,30.44,10703.89,1,0,30.44,0,0.0028,3,5,1746.62,6018.9,1,3,17,0,1
S250,Mark Rivera,7651,Chase,2024-01-01,2024-01-31,4726.99,9771.93,5690.7,645.76,TX36,2024-01-12,salary transaction,Employer,salary,2785.08,9334.13,1,0,2785.08,1,0.2984,4,5,4915.15,6715.13,0,2,12,0,0
S186,John Carter,4675,Chase,2024-01-01,2024-01-31,2098.16,8595.45,7438.63,941.34,TX37,2024-01-10,shopping transaction,Target,shopping,-597.91,8219.81,0,1,597.91,0,0.0727,2,5,3916.1,7868.29,0,1,10,0,0
S198,John Carter,2721,Citi,2024-01-01,2024-01-31,659.76,1870.97,3105.84,1894.63,TX38,2024-01-28,groceries transaction,Grocery Mart,groceries,-174.9,2087.33,0,1,174.9,0,0.0838,0,1,1073.8,2366.67,0,4,28,0,0
S264,John Carter,2157,Capital One,2024-01-01,2024-01-31,4375.64,2381.8,4543.58,6537.42,TX39,2024-01-15,internet transaction,Comcast,internet,122.94,2773.43,1,0,122.94,0,0.0443,1,3,6733.52,6235.37,1,1,15,0,0
S166,Sarah Lee,5568,Citi,2024-01-01,2024-01-31,3771.36,6899.66,4115.62,987.32,TX40,2024-01-20,salary transaction,Employer,salary,1524.13,7418.99,1,0,1524.13,1,0.2054,1,1,5626.33,1690.94,0,5,20,1,1
S110,Priya Sharma,5949,Chase,2024-01-01,2024-01-31,2782.17,3514.19,3372.6,2640.58,TX41,2024-01-20,utilities transaction,Electric Co,utilities,-688.22,3415.82,0,1,688.22,1,0.2015,4,11,1504.17,5149.19,1,5,20,1,0
S277,Alice Johnson,7902,Citi,2024-01-01,2024-01-31,6829.38,12657.2,7130.3,1302.48,TX42,2024-01-28,coffee transaction,Starbucks,coffee,-596.22,12668.39,0,1,596.22,0,0.0471,0,1,916.54,2503.18,1,2,28,0,1
S138,Mark Rivera,9665,Capital One,2024-01-01,2024-01-31,1071.09,-1991.68,1437.33,4500.1,TX43,2024-01-16,groceries transaction,Grocery Mart,groceries,-294.59,-2709.72,0,1,294.59,0,0.1087,1,2,4192.19,4927.95,1,2,16,0,0
S110,Vikram Rao,3966,Wells Fargo,2024-01-01,2024-01-31,3157.17,2723.43,5127.12,5560.86,TX44,2024-01-16,salary transaction,Employer,salary,3721.8,2654.82,1,0,3721.8,1,1.4019,0,2,4311.77,2457.81,1,6,16,1,1
S183,Mark Rivera,4172,Citi,2024-01-01,2024-01-31,2284.53,-1002.78,2786.4,6073.71,TX45,2024-01-23,gas transaction,Shell,gas,-782.64,-291.7,0,1,782.64,1,2.683,3,6,2057.11,5138.65,1,0,23,0,1
S125,Alice Johnson,1708,Bank of America,2024-01-01,2024-01-31,7190.91,7438.29,2967.52,2720.14,TX46,2024-01-23,groceries transaction,Grocery Mart,groceries,193.48,6752.75,1,0,193.48,0,0.0287,0,1,4460.4,4257.06,0,0,23,0,0
S168,Mark Rivera,6612,Bank of America,2024-01-01,2024-01-31,4228.59,8555.71,4743.77,416.65,TX47,2024-01-15,atm transaction,ATM,atm,-710.69,8077.76,0,1,710.69,1,0.088,0,2,7367.2,4130.46,0,5,15,1,1
S148,Sarah Lee,1988,Chase,2024-01-01,2024-01-31,5229.17,7973.07,5535.04,2791.14,TX48,2024-01-03,internet transaction,Comcast,internet,50.79,7929.95,1,0,50.79,0,0.0064,0,2,6396.59,997.67,1,4,3,0,0
S151,Mark Rivera,8566,Chase,2024-01-01,2024-01-31,3806.51,8544.99,6869.4,2130.92,TX49,2024-01-28,salary transaction,Employer,salary,3457.98,8892.37,1,0,3457.98,1,0.3889,3,6,1355.82,4382.37,1,4,28,0,0
S265,Sarah Lee,5466,Bank of America,2024-01-01,2024-01-31,3102.21,-625.83,964.1,4692.14,TX50,2024-01-13,gas transaction,Shell,gas,-421.14,-312.12,0,1,421.14,0,1.3493,4,4,3340.59,1105.15,0,4,13,0,1
S232,John Carter,1143,Capital One,2024-01-01,2024-01-31,5975.85,6642.21,2128.11,1461.75,TX51,2024-01-27,internet transaction,Comcast,internet,-21.48,7012.15,0,1,21.48,0,0.0031,3,5,824.29,1821.87,0,3,27,0,1
S128,Priya Sharma,8107,Wells Fargo,2024-01-01,2024-01-31,861.02,115.87,2564.53,3309.68,TX52,2024-01-06,shopping transaction,Target,shopping,-152.23,-126.83,0,1,152.23,0,1.2003,1,3,667.6,5541.6,0,2,6,0,1
S230,Alice Johnson,2317,Bank of America,2024-01-01,2024-01-31,5778.29,9668.99,6767.11,2876.41,TX53,2024-01-03,shopping transaction,Amazon,shopping,243.28,9241.89,1,0,243.28,0,0.0263,3,4,1558.45,3686.25,0,2,3,0,1
S126,John Carter,2384,Citi,2024-01-01,2024-01-31,1942.83,2051.99,2810.95,2701.79,TX54,2024-01-07,utilities transaction,Electric Co,utilities,-487.81,2722.03,0,1,487.81,0,0.1792,3,3,6370.58,6173.52,0,2,7,0,0
S251,Sarah Lee,9245,Bank of America,2024-01-01,2024-01-31,2694.46,4380.45,2861.02,1175.03,TX55,2024-01-09,internet transaction,Comcast,internet,-562.07,4767.3,0,1,562.07,0,0.1179,4,5,6901.24,4047.18,0,6,9,1,1
S200,Sarah Lee,4730,Chase,2024-01-01,2024-01-31,2895.38,4184.66,7539.44,6250.16,TX56,2024-01-17,shopping transaction,Target,shopping,-725.88,3616.67,0,1,725.88,1,0.2007,2,2,1518.09,6193.65,0,4,17,0,1
S254,Emily Davis,4215,Bank of America,2024-01-01,2024-01-31,2185.41,3790.34,6546.09,4941.16,TX57,2024-01-21,utilities transaction,Electric Co,utilities,-609.09,4176.14,0,1,609.09,1,0.1458,3,4,2574.88,5170.81,1,1,21,0,1
S143,John Carter,9196,Capital One,2024-01-01,2024-01-31,5645.46,10927.13,5810.96,529.29,TX58,2024-01-25,groceries transaction,Grocery Mart,groceries,-279.79,10801.35,0,1,279.79,0,0.0259,1,7,6809.28,902.15,0,3,25,0,0
S224,Sarah Lee,8691,Capital One,2024-01-01,2024-01-31,2985.09,7486.84,6187.11,1685.36,TX59,2024-01-07,coffee transaction,Starbucks,coffee,-278.06,7078.2,0,1,278.06,0,0.0393,3,5,1418.7,6063.54,0,6,7,1,0
S253,Mark Rivera,2932,Wells Fargo,2024-01-01,2024-01-31,5223.19,1181.16,776.11,4818.14,TX60,2024-01-06,shopping transaction,Target,shopping,-776.77,794.53,0,1,776.77,1,0.9776,1,1,6055.08,3405.79,1,5,6,1,0
S158,Emily Davis,9153,Citi,2024-01-01,2024-01-31,7057.53,10494.63,7930.18,4493.08,TX61,2024-01-21,internet transaction,Comcast,internet,-425.43,10969.55,0,1,425.43,0,0.0388,0,5,5081.81,2907.69,0,6,21,1,1
S299,Alice Johnson,1034,Bank of America,2024-01-01,2024-01-31,5278.82,5062.35,2459.8,2676.27,TX62,2024-01-23,atm transaction,ATM,atm,-387.16,4837.63,0,1,387.16,0,0.08,1,4,5354.31,4086.32,1,0,23,0,1
S243,Priya Sharma,2650,Wells Fargo,2024-01-01,2024-01-31,741.15,-169.63,1802.05,2712.83,TX63,2024-01-08,salary transaction,Employer,salary,3632.37,-732.13,1,0,3632.37,1,4.9614,1,2,7801.13,6585.48,0,0,8,0,1
S191,Emily Davis,4246,Chase,2024-01-01,2024-01-31,3450.01,9317.81,6419.37,551.57,TX64,2024-01-09,salary transaction,Employer,salary,3739.81,8867.76,1,0,3739.81,1,0.4217,1,3,6705.51,7513.44,1,6,9,1,1
S174,Mark Rivera,4860,Chase,2024-01-01,2024-01-31,1235.99,6694.8,7496.39,2037.58,TX65,2024-01-20,shopping transaction,Amazon,shopping,72.33,6599.24,1,0,72.33,0,0.011,1,4,3825.62,3811.0,0,5,20,1,1
S297,Sarah Lee,3284,Chase,2024-01-01,2024-01-31,3042.16,6795.63,6664.26,2910.79,TX66,2024-01-05,atm transaction,ATM,atm,184.6,5995.73,1,0,184.6,0,0.0308,4,6,6994.93,1974.11,1,4,5,0,1
S231,Sarah Lee,8628,Chase,2024-01-01,2024-01-31,7128.82,14023.96,7309.19,414.05,TX67,2024-01-28,shopping transaction,Target,shopping,87.2,13382.1,1,0,87.2,0,0.0065,0,2,5919.88,7107.36,0,0,28,0,1
S236,Sarah Lee,7038,Bank of America,2024-01-01,2024-01-31,3968.18,4591.08,1170.46,547.56,TX68,2024-01-18,coffee transaction,Starbucks,coffee,-444.84,4503.37,0,1,444.84,0,0.0988,0,0,5490.3,4282.24,0,5,18,1,1
S163,Vikram Rao,3280,Citi,2024-01-01,2024-01-31,4318.09,8322.26,4520.5,516.33,TX69,2024-01-28,atm transaction,ATM,atm,-229.8,8180.2,0,1,229.8,0,0.0281,4,5,5738.15,7887.27,0,2,28,0,0
S112,Priya Sharma,9746,Wells Fargo,2024-01-01,2024-01-31,5291.54,4244.75,3322.78,4369.57,TX70,2024-01-15,coffee transaction,Starbucks,coffee,100.21,4917.85,1,0,100.21,0,0.0204,1,6,2856.16,3669.81,1,5,15,1,1
S199,Vikram Rao,2870,Chase,2024-01-01,2024-01-31,585.57,4657.01,6239.79,2168.35,TX71,2024-01-17,salary transaction,Employer,salary,3697.26,4662.87,1,0,3697.26,1,0.7929,2,6,6191.52,4418.69,1,5,17,1,0
S130,Emily Davis,2204,Chase,2024-01-01,2024-01-31,5188.66,2910.0,1561.81,3840.47,TX72,2024-01-20,utilities transaction,Electric Co,utilities,225.33,2700.67,1,0,225.33,0,0.0834,0,0,6179.16,5585.63,1,6,20,1,0
S199,Vikram Rao,3442,Wells Fargo,2024-01-01,2024-01-31,7902.39,10541.09,5705.19,3066.49,TX73,2024-01-25,shopping transaction,Amazon,shopping,297.94,10084.98,1,0,297.94,0,0.0295,3,4,4240.72,740.02,1,4,25,0,1
S187,Sarah Lee,1272,Capital One,2024-01-01,2024-01-31,3250.82,352.98,1016.95,3914.79,TX74,2024-01-16,atm transaction,ATM,atm,-581.36,626.4,0,1,581.36,0,0.9281,4,4,1067.72,569.9,1,5,16,1,0
S174,Vikram Rao,9526,Wells Fargo,2024-01-01,2024-01-31,936.95,-1355.3,3350.01,5642.26,TX75,2024-01-27,gas transaction,Shell,gas,-711.14,-1092.68,0,1,711.14,1,0.6508,3,6,6742.79,4603.57,0,4,27,0,1
S260,John Carter,7517,Citi,2024-01-01,2024-01-31,1946.6,3099.58,3333.75,2180.77,TX76,2024-01-02,groceries transaction,Grocery Mart,groceries,-568.17,3816.2,0,1,568.17,0,0.1489,0,2,5702.61,6110.39,0,6,2,1,1
S133,Sarah Lee,1965,Capital One,2024-01-01,2024-01-31,5055.45,1051.25,1271.63,5275.83,TX77,2024-01-04,gas transaction,Shell,gas,-707.65,706.86,0,1,707.65,1,1.0011,3,3,2667.33,2701.46,1,5,4,1,0
S193,John Carter,6837,Chase,2024-01-01,2024-01-31,7450.51,5728.38,2378.15,4100.28,TX78,2024-01-26,groceries transaction,Grocery Mart,groceries,-258.5,5728.81,0,1,258.5,0,0.0451,0,1,7893.78,3027.96,1,1,26,0,1
S270,Vikram Rao,4311,Wells Fargo,2024-01-01,2024-01-31,5034.69,11900.66,7406.79,540.82,TX79,2024-01-02,atm transaction,ATM,atm,276.32,11160.81,1,0,276.32,0,0.0248,1,4,6101.44,7937.43,0,2,2,0,1
S269,Alice Johnson,1987,Chase,2024-01-01,2024-01-31,4745.46,5548.1,3501.62,2698.98,TX80,2024-01-26,shopping transaction,Target,shopping,-40.09,5190.02,0,1,40.09,0,0.0077,2,5,7199.26,5734.26,0,5,26,1,1
S132,Alice Johnson,9121,Wells Fargo,2024-01-01,2024-01-31,3923.59,3238.85,2252.72,2937.46,TX81,2024-01-10,shopping transaction,Amazon,shopping,-417.93,2806.25,0,1,417.93,0,0.1489,3,3,3560.79,1738.37,0,5,10,1,0
S279,Mark Rivera,6564,Capital One,2024-01-01,2024-01-31,7837.03,8416.85,4057.3,3477.48,TX82,2024-01-12,utilities transaction,Electric Co,utilities,-121.02,8736.15,0,1,121.02,0,0.0139,3,8,2589.09,3981.77,0,3,12,0,0
S291,Vikram Rao,8800,Bank of America,2024-01-01,2024-01-31,2762.25,1976.37,3388.51,4174.39,TX83,2024-01-08,internet transaction,Comcast,internet,-670.84,1792.88,0,1,670.84,1,0.3742,0,4,1848.02,6361.54,0,0,8,0,0
S285,Mark Rivera,8280,Citi,2024-01-01,2024-01-31,1358.52,2959.95,6123.94,4522.51,TX84,2024-01-16,salary transaction,Employer,salary,3057.86,3126.83,1,0,3057.86,1,0.9779,3,6,5609.99,3479.54,1,5,16,1,1
S121,Priya Sharma,6365,Citi,2024-01-01,2024-01-31,1142.06,733.59,3209.05,3617.52,TX85,2024-01-28,utilities transaction,Electric Co,utilities,-549.8,593.68,0,1,549.8,0,0.9261,3,7,7147.76,7694.51,0,6,28,1,0
S108,Sarah Lee,4140,Bank of America,2024-01-01,2024-01-31,898.72,-980.24,571.7,2450.66,TX86,2024-01-04,shopping transaction,Amazon,shopping,-452.54,-1763.25,0,1,452.54,0,0.2567,1,6,6971.49,670.7,0,5,4,1,1
S220,John Carter,6456,Chase,2024-01-01,2024-01-31,2820.03,2943.86,3835.44,3711.61,TX87,2024-01-11,utilities transaction,Electric Co,utilities,-395.29,3234.51,0,1,395.29,0,0.1222,3,5,4219.26,4642.74,1,6,11,1,1
S174,Alice Johnson,1859,Bank of America,2024-01-01,2024-01-31,5520.28,5530.32,4190.45,4180.41,TX88,2024-01-13,shopping transaction,Target,shopping,-73.54,6067.48,0,1,73.54,0,0.0121,0,2,3360.7,5835.65,0,4,13,0,1
S207,Emily Davis,4954,Capital One,2024-01-01,2024-01-31,3156.97,2720.06,3684.02,4120.93,TX89,2024-01-13,internet transaction,Comcast,internet,-45.64,3199.82,0,1,45.64,0,0.0143,4,4,6468.93,5030.1,0,6,13,1,1
S272,Sarah Lee,8258,Citi,2024-01-01,2024-01-31,6087.07,10658.81,6918.53,2346.79,TX90,2024-01-28,coffee transaction,Starbucks,coffee,-277.4,10139.41,0,1,277.4,0,0.0274,2,2,1283.7,6403.39,0,3,28,0,1
S190,Emily Davis,3465,Capital One,2024-01-01,2024-01-31,1558.5,740.76,822.32,1640.06,TX91,2024-01-04,gas transaction,Shell,gas,-252.58,285.77,0,1,252.58,0,0.8839,2,3,3262.66,6054.83,0,1,4,0,0
S257,Sarah Lee,7093,Capital One,2024-01-01,2024-01-31,4092.7,4510.94,1375.51,957.27,TX92,2024-01-18,utilities transaction,Electric Co,utilities,-526.1,4567.6,0,1,526.1,0,0.1152,3,6,5720.37,2067.0,1,0,18,0,0
S143,Priya Sharma,3094,Bank of America,2024-01-01,2024-01-31,1966.65,-1138.12,2893.14,5997.91,TX93,2024-01-06,atm transaction,ATM,atm,-411.23,-1134.14,0,1,411.23,0,0.3626,0,2,3546.97,854.6,1,2,6,0,0
S285,John Carter,7978,Citi,2024-01-01,2024-01-31,5271.64,11360.58,6504.15,415.21,TX94,2024-01-19,shopping transaction,Target,shopping,-361.89,10861.31,0,1,361.89,0,0.0333,2,5,7020.81,1897.21,1,0,19,0,1
S158,Alice Johnson,9007,Citi,2024-01-01,2024-01-31,2868.84,5846.13,4726.1,1748.81,TX95,2024-01-19,atm transaction,ATM,atm,-372.15,5153.34,0,1,372.15,0,0.0722,2,6,7885.27,7667.84,0,2,19,0,0
S183,Sarah Lee,6615,Chase,2024-01-01,2024-01-31,3575.83,6373.96,7766.53,4968.4,TX96,2024-01-26,salary transaction,Employer,salary,2628.69,6789.73,1,0,2628.69,1,0.3872,3,8,4240.63,5015.43,0,5,26,1,0
S160,Emily Davis,1133,Capital One,2024-01-01,2024-01-31,2946.28,4553.49,2552.14,944.93,TX97,2024-01-07,atm transaction,ATM,atm,-430.31,4043.34,0,1,430.31,0,0.1064,3,10,7797.97,7716.16,0,5,7,1,0
S281,John Carter,1428,Citi,2024-01-01,2024-01-31,3029.73,3430.91,2005.22,1604.04,TX98,2024-01-06,coffee transaction,Starbucks,coffee,221.93,3173.24,1,0,221.93,0,0.0699,2,5,6936.96,6261.58,1,5,6,1,1
S285,Mark Rivera,4583,Bank of America,2024-01-01,2024-01-31,991.24,5152.89,6378.08,2216.43,TX99,2024-01-22,salary transaction,Employer,salary,1660.08,5519.16,1,0,1660.08,1,0.3008,3,6,518.39,5873.4,0,1,22,0,1
S163,Sarah Lee,4856,Bank of America,2024-01-01,2024-01-31,5888.58,5333.41,4373.2,4928.37,TX100,2024-01-08,atm transaction,ATM,atm,-427.42,4901.62,0,1,427.42,0,0.0872,1,4,3260.72,2416.92,1,0,8,0,1
S245,Vikram Rao,6222,Bank of America,2024-01-01,2024-01-31,4467.68,5173.78,3154.25,2448.15,TX101,2024-01-08,shopping transaction,Target,shopping,115.36,5797.06,1,0,115.36,0,0.0199,3,7,4670.25,7893.25,0,4,8,0,0
S204,Emily Davis,6680,Chase,2024-01-01,2024-01-31,4681.0,2910.84,2478.09,4248.25,TX102,2024-01-21,internet transaction,Comcast,internet,-281.81,3557.07,0,1,281.81,0,0.0792,1,6,6952.51,2015.69,0,2,21,0,1
S195,Sarah Lee,2379,Capital One,2024-01-01,2024-01-31,7324.86,6490.93,1192.65,2026.58,TX103,2024-01-17,salary transaction,Employer,salary,2312.43,6145.74,1,0,2312.43,1,0.3763,4,4,6098.69,4411.41,0,5,17,1,1
S229,Alice Johnson,2979,Citi,2024-01-01,2024-01-31,2957.27,4549.05,7623.89,6032.11,TX104,2024-01-19,salary transaction,Employer,salary,2073.95,4040.65,1,0,2073.95,1,0.5133,3,5,2608.9,6398.46,1,4,19,0,1
S261,Vikram Rao,5241,Chase,2024-01-01,2024-01-31,7586.27,8536.92,5488.96,4538.31,TX105,2024-01-17,internet transaction,Comcast,internet,-215.47,9150.09,0,1,215.47,0,0.0235,3,3,959.59,1595.32,1,6,17,1,0
S180,Alice Johnson,4852,Citi,2024-01-01,2024-01-31,2724.19,-602.14,2625.81,5952.14,TX106,2024-01-24,atm transaction,ATM,atm,-366.52,140.2,0,1,366.52,0,2.6143,2,4,5018.99,1559.34,1,0,24,0,1
S195,Mark Rivera,1027,Chase,2024-01-01,2024-01-31,5420.59,8703.02,4070.5,788.07,TX107,2024-01-13,salary transaction,Employer,salary,3204.84,8899.6,1,0,3204.84,1,0.3601,1,7,4713.33,1661.88,0,5,13,1,0
